nodes,edges,density,similarity_with_previous,bucket_length,bucket_num,mem_size,iters,total_msg,activated_nodes,msg_per_iter,time_per_iter,errors,mean_error,errors_per_iter
7716,11410810,0.007098766,0.9565296471444161,7,105,5,11,633,395,"[336, 41, 149, 0, 77, 0, 26, 0, 3, 0, 1]","[26, 1, 3, 0, 3, 0, 1, 0, 0, 0, 0]",21,1,13.247619047619047
7716,11410810,0.007027027,0.9543564714389009,7,105,5,7,619,379,"[320, 54, 146, 0, 74, 0, 25]","[28, 1, 3, 0, 2, 0, 1]",23,1,13.247619047619047
7716,11410810,0.0069479505,0.9504331517370724,7,105,5,11,640,397,"[343, 42, 152, 2, 68, 0, 26, 0, 5, 0, 2]","[27, 1, 3, 0, 2, 0, 1, 0, 0, 0, 0]",28,1,13.247619047619047
7716,11410810,0.006490302,0.9530750088873089,7,105,5,9,633,387,"[324, 51, 148, 1, 80, 0, 25, 0, 4]","[27, 1, 3, 0, 2, 0, 1, 0, 0]",36,1,13.247619047619047
7716,11410810,0.006781435,0.9491315136476427,7,105,5,11,601,370,"[314, 42, 133, 1, 75, 0, 27, 0, 8, 0, 1]","[26, 0, 2, 0, 2, 0, 1, 0, 0, 0, 0]",33,1,13.247619047619047
7716,11410810,0.0067723505,0.9539304978335839,7,105,5,11,639,388,"[332, 45, 144, 2, 78, 0, 29, 0, 7, 0, 2]","[26, 1, 3, 0, 2, 0, 1, 0, 0, 0, 0]",33,1,13.247619047619047
7716,11410810,0.0053713038,0.9562082307421738,7,105,5,7,556,359,"[313, 40, 124, 0, 59, 0, 20]","[24, 0, 2, 0, 1, 0, 1]",38,1,13.247619047619047
7716,11410810,0.0066501363,0.9539093930383068,7,105,5,11,631,402,"[347, 43, 139, 1, 68, 0, 28, 0, 3, 0, 2]","[26, 1, 3, 0, 3, 0, 2, 0, 0, 0, 0]",30,1,13.247619047619047
7716,11410810,0.0065982128,0.9455577535047733,7,105,5,13,879,499,"[438, 50, 221, 2, 92, 0, 49, 0, 23, 0, 3, 0, 1]","[35, 1, 3, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0]",30,1,13.247619047619047
7716,11410810,0.006602558,0.9462973908638014,7,105,5,19,760,447,"[387, 48, 171, 0, 87, 0, 36, 0, 16, 0, 5, 0, 4, 0, 3, 0, 2, 0, 1]","[33, 1, 3, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",32,1,13.247619047619047
7716,11410810,0.0065758913,0.9496865858754702,7,105,5,17,792,519,"[466, 41, 165, 0, 77, 0, 24, 0, 9, 0, 1, 0, 6, 0, 2, 0, 1]","[34, 1, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",27,1,13.247619047619047
7716,11410810,0.006514058,0.9471632382216324,7,105,5,15,708,415,"[359, 48, 167, 0, 82, 0, 31, 0, 11, 0, 7, 0, 2, 0, 1]","[32, 1, 3, 0, 3, 0, 3, 0, 1, 0, 0, 0, 0, 0, 0]",26,1,13.247619047619047
7716,11410810,0.006441304,0.9500206185567011,7,105,5,9,698,589,"[505, 14, 112, 0, 45, 0, 17, 0, 5]","[32, 0, 1, 0, 1, 0, 0, 0, 0]",0,0,13.247619047619047
7716,11410810,0.006263662,0.904296572049015,7,105,5,13,519,293,"[255, 32, 123, 2, 63, 0, 24, 0, 12, 0, 4, 0, 4]","[26, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",6,1,13.247619047619047
7716,11410810,0.0051846895,0.9348243793713013,7,105,5,7,219,150,"[125, 17, 49, 0, 25, 0, 3]","[11, 0, 1, 0, 1, 0, 0]",7,1,13.247619047619047
7716,11410810,0.0060764854,0.932555319793877,7,105,5,13,371,225,"[200, 17, 93, 1, 43, 0, 10, 0, 5, 0, 1, 0, 1]","[24, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",7,1,13.247619047619047
